n, q, tp, g, app, MOS, stdev, Queue
1, T, 50, S, hostVID, 1.0, 0.0
1, T, 60, S, hostVID, 2.900031172026337, 0.0
1, T, 70, S, hostVID, 3.0916385791743672, 0.0
1, T, 80, S, hostVID, 3.227530183886813, 0.0
1, T, 90, S, hostVID, 2.6653719426364986, 0.0
1, T, 100, S, hostVID, 2.815090373342272, 0.0
1, B, 50, S, hostVIP, 1.2592210314308379, 0.0
1, B, 50, S, hostVID, 1.322769323556682, 0.0
1, B, 50, S, hostLVD, 1.713161220988087, 0.0
1, B, 50, S, hostFDO, 2.1387859731246994, 0.0
1, B, 60, S, hostVIP, 1.215716360483494, 0.0
1, B, 60, S, hostVID, 2.900031172026337, 0.0
1, B, 60, S, hostLVD, 1.6648445570045054, 0.0
1, B, 60, S, hostFDO, 2.5687371821993, 0.0
1, B, 70, S, hostVIP, 1.3489284864843045, 0.0
1, B, 70, S, hostVID, 3.0916385791743672, 0.0
1, B, 70, S, hostLVD, 2.0633846378691936, 0.0
1, B, 70, S, hostFDO, 2.7802726384239, 0.0
1, B, 80, S, hostVIP, 2.008174307237448, 0.0
1, B, 80, S, hostVID, 3.227530183886813, 0.0
1, B, 80, S, hostLVD, 2.1074404999485314, 0.0
1, B, 80, S, hostFDO, 3.0330228291398, 0.0
1, B, 90, S, hostVIP, 2.86641290079938, 0.0
1, B, 90, S, hostVID, 2.6653719426364986, 0.0
1, B, 90, S, hostLVD, 2.139053263895223, 0.0
1, B, 90, S, hostFDO, 3.2341288694217, 0.0
1, B, 100, S, hostVIP, 4.352747043006647, 0.0
1, B, 100, S, hostVID, 2.815090373342272, 0.0
1, B, 100, S, hostLVD, 2.28093722859847, 0.0
1, B, 100, S, hostFDO, 3.3781559535958, 0.0
1, B, 110, S, hostVID, 3.662287461468756, 0.0
1, B, 110, S, hostLVD, 2.252424703377046, 0.0
1, B, 120, S, hostVID, 3.5831155085593034, 0.0
1, B, 120, S, hostLVD, 2.3317113660320223, 0.0
1, B, 130, S, hostVID, 3.674536797232394, 0.0
1, B, 130, S, hostLVD, 2.299546559636916, 0.0
1, B, 140, S, hostVID, 3.7460784977477086, 0.0
1, B, 140, S, hostLVD, 2.5704308761668537, 0.0
1, B, 150, S, hostVID, 3.795089983714802, 0.0
1, B, 150, S, hostLVD, 2.466639688720072, 0.0
1, B, 50, F, hostVIP, 1.2592210314308379, 0.0
