n, q, tp, g, app, MOS, stdev, Queue
1, B, 50, 1, hostVIP, 1.2592210314308379, 0.0, 600
1, B, 60, 1, hostVIP, 1.215716360483494, 0.0, 600
1, B, 70, 1, hostVIP, 1.3489284864843045, 0.0, 600
1, B, 80, 1, hostVIP, 2.008174307237448, 0.0, 600
1, B, 90, 1, hostVIP, 2.86641290079938, 0.0, 600
1, B, 100, 1, hostVIP, 4.352747043006647, 0.0, 600.0
1, B, 110, 1, hostVIP, 4.353730287298028, 0.0, 1200
1, B, 120, 1, hostVIP, 4.354547354953043, 0.0, 1200
1, B, 130, 1, hostVIP, 4.355237083316809, 0.0, 1200
1, B, 140, 1, hostVIP, 4.35582708403886, 0.0, 1200
1, B, 150, 1, hostVIP, 4.356337525087779, 0.0, 1200
1, 5B, 50, 1, hostVIP, 1.1337069828804731, 0.0, 1800
1, 5B, 60, 1, hostVIP, 1.1387572289106844, 0.0, 1800.0
1, 5B, 70, 1, hostVIP, 1.232203866079656, 0.0, 2400
1, 5B, 80, 1, hostVIP, 1.3972260760238204, 0.0, 2400.0
1, 5B, 90, 1, hostVIP, 1.7226398268580831, 0.0, 3000
1, 5B, 100, 1, hostVIP, 4.352747043006647, 0.0, 3000.0
1, 5B, 110, 1, hostVIP, 4.353730287298028, 0.0, 3600
1, 5B, 120, 1, hostVIP, 4.354547354953043, 0.0, 3600.0
1, 5B, 130, 1, hostVIP, 4.355237083316809, 0.0, 4200
1, 5B, 140, 1, hostVIP, 4.35582708403886, 0.0, 4200.0
1, 5B, 150, 1, hostVIP, 4.356337525087779, 0.0, 4800
1, 10B, 50, 1, hostVIP, 1.1277464579227972, 0.0, 3000.0
1, 10B, 60, 1, hostVIP, 1.130306757759881, 0.0, 3600.0
1, 10B, 70, 1, hostVIP, 1.2263836542627125, 0.0, 4200.0
1, 10B, 80, 1, hostVIP, 1.388200267969629, 0.0, 4800.0
1, 10B, 90, 1, hostVIP, 1.7028703374881125, 0.0, 5400.0
1, 10B, 100, 1, hostVIP, 4.352747043006647, 0.0, 6000.0
1, 10B, 110, 1, hostVIP, 4.353730287298028, 0.0, 6600.0
1, 10B, 120, 1, hostVIP, 4.354547354953043, 0.0, 7200.0
1, 10B, 130, 1, hostVIP, 4.355237083316809, 0.0, 7800.0
1, 10B, 140, 1, hostVIP, 4.35582708403886, 0.0, 8400.0
1, 10B, 150, 1, hostVIP, 4.356337525087779, 0.0, 9000.0
10, T, 50, 1, hostVIP, 3.184412443797209, 0.10777366938525719, 1200
10, T, 60, 1, hostVIP, 3.4978496241982207, 0.15080097950720017, 1200
10, T, 70, 1, hostVIP, 3.926563276689335, 0.08119488574621767, 1800
10, T, 80, 1, hostVIP, 4.186670246366429, 0.05836570183670431, 1800
10, T, 90, 1, hostVIP, 4.3012923678706825, 0.02864735011907817, 1800
10, T, 100, 1, hostVIP, 4.371098911445166, 0.011939486597625448, 2400
10, T, 110, 1, hostVIP, 4.371322219306688, 0.011932915343495101, 2400
10, T, 120, 1, hostVIP, 4.37148643826393, 0.011926188912983875, 2400
10, T, 130, 1, hostVIP, 4.373677103168776, 0.007649727213176088, 3000
10, T, 140, 1, hostVIP, 4.373780783480537, 0.007649530188839603, 3000
10, T, 150, 1, hostVIP, 4.373865231664124, 0.007649685253035334, 3000
10, B, 50, 1, hostVIP, 3.2422412192247556, 0.1201735654763099, 3000.0
10, B, 60, 1, hostVIP, 3.623427569681001, 0.13831825067243242, 3600.0
10, B, 70, 1, hostVIP, 3.9899479376329694, 0.05583319236018004, 4200.0
10, B, 80, 1, hostVIP, 4.261943234798137, 0.035343645551433656, 4800.0
10, B, 90, 1, hostVIP, 4.366994742175443, 0.010853482045383198, 5400.0
10, B, 100, 1, hostVIP, 4.373163528934304, 0.0076589722542057094, 6000.0
10, B, 110, 1, hostVIP, 4.37338446093057, 0.007654650085863417, 6600.0
10, B, 120, 1, hostVIP, 4.3735488500982855, 0.007650944763082598, 7200.0
10, B, 130, 1, hostVIP, 4.373677103168776, 0.007649727213176088, 7800.0
10, B, 140, 1, hostVIP, 4.373780783480537, 0.007649530188839603, 8400.0
