n, q, tp, g, app, MOS, stdev, Queue, SU
1, B,50,1, hostVIP,1.259221031430838,0.0,600.0,0.6675
1, B,60,1, hostVIP,1.215716360483494,0.0,600.0,0.6660833333333334
1, B,70,1, hostVIP,1.3489284864843043,0.0,600.0,0.6642857142857143
1, B,80,1, hostVIP,2.008174307237448,0.0,600.0,0.662
1, B,90,1, hostVIP,2.86641290079938,0.0,600.0,0.6610555555555556
1, B,100,1, hostVIP,4.352747043006647,0.0,600.0,0.65635
1, B,110,1, hostVIP,4.353730287298028,0.0,1200.0,0.5966818181818182
1, B,120,1, hostVIP,4.354547354953043,0.0,1200.0,0.5469583333333333
1, B,130,1, hostVIP,4.355237083316809,0.0,1200.0,0.5048846153846154
1, B,140,1, hostVIP,4.35582708403886,0.0,1200.0,0.4688214285714285
1, B,150,1, hostVIP,4.356337525087779,0.0,1200.0,0.4375666666666666
1, 5B,50,1, hostVIP,1.1337069828804731,0.0,1800.0,0.6940000000000001
1, 5B,60,1, hostVIP,1.1387572289106844,0.0,1800.0,0.6874166666666667
1, 5B,70,1, hostVIP,1.232203866079656,0.0,2400.0,0.6903571428571429
1, 5B,80,1, hostVIP,1.3972260760238204,0.0,2400.0,0.6838125
1, 5B,90,1, hostVIP,1.7226398268580831,0.0,3000.0,0.6822222222222223
1, 5B,100,1, hostVIP,4.352747043006647,0.0,3000.0,0.65635
1, 5B,110,1, hostVIP,4.353730287298028,0.0,3600.0,0.5966818181818182
1, 5B,120,1, hostVIP,4.354547354953043,0.0,3600.0,0.5469583333333333
1, 5B,130,1, hostVIP,4.355237083316809,0.0,4200.0,0.5048846153846154
1, 5B,140,1, hostVIP,4.35582708403886,0.0,4200.0,0.4688214285714285
1, 5B,150,1, hostVIP,4.356337525087779,0.0,4800.0,0.4375666666666666
1, 10B,50,1, hostVIP,1.1277464579227972,0.0,3000.0,0.7162000000000001
1, 10B,60,1, hostVIP,1.130306757759881,0.0,3600.0,0.7139166666666666
1, 10B,70,1, hostVIP,1.2263836542627125,0.0,4200.0,0.7108571428571429
1, 10B,80,1, hostVIP,1.388200267969629,0.0,4800.0,0.7050625
1, 10B,90,1, hostVIP,1.7028703374881125,0.0,5400.0,0.6964999999999999
1, 10B,100,1, hostVIP,4.352747043006647,0.0,6000.0,0.65635
